year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPV polewards	low depth	PLpoint
1989.0	2.0	4949.0	107.0	154.054489	-69.191498	4.430226	nan	29.9925422668	-0.380859375	0.0
1989.0	2.0	4949.0	108.0	156.307846	-69.529068	4.648266	nan	33.8235855103	-0.619812011719	0.0
1989.0	2.0	4949.0	109.0	163.526505	-69.439468	4.383414	nan	31.9764175415	-0.134887695312	0.0
1989.0	2.0	4949.0	110.0	170.503448	-69.64138	3.925282	-13.9188931373	30.1670608521	-0.0950317382812	0.0
1989.0	2.0	4949.0	111.0	178.369934	-70.664055	5.935399	-10.6562273944	17.3957710266	-0.452758789062	1.0
1989.0	3.0	5658.0	26.0	115.515144	-60.108524	3.762875	-7.8818762207	14.3060388565	-0.7001953125	1.0
1989.0	3.0	5658.0	27.0	118.078094	-58.708012	3.59544	-6.61749910053	17.0407581329	-0.416015625	1.0
1989.0	3.0	5658.0	28.0	122.410027	-56.787811	3.570757	-5.62867335269	20.5039138794	-0.40625	0.0
1989.0	3.0	5700.0	29.0	134.875671	-60.989891	2.949645	-7.61643798828	20.5167865753	-0.279724121094	0.0
1989.0	3.0	5700.0	30.0	141.997086	-61.568111	3.229589	-8.63148681641	16.7597179413	-0.399719238281	0.0
1989.0	3.0	5700.0	31.0	145.305984	-62.13868	3.855629	-8.98996704102	25.6462364197	-0.505737304688	1.0
1989.0	3.0	5700.0	32.0	147.275772	-61.065845	3.121353	-8.13021850586	22.7803916931	-0.362609863281	0.0
1989.0	3.0	5700.0	33.0	149.893875	-58.981503	3.81448	-8.49339053505	18.3485126495	-0.324829101562	0.0
1989.0	3.0	5700.0	34.0	154.880585	-58.576797	4.44699	-9.44220131322	19.8300304413	-0.241516113281	0.0
1989.0	3.0	5700.0	35.0	160.22226	-59.323284	5.229265	-9.7981535259	18.7035255432	-0.163269042969	0.0
1989.0	3.0	5700.0	36.0	164.648315	-59.872215	4.25182	-10.1293302837	18.7531223297	0.0386962890625	0.0
1989.0	3.0	5700.0	37.0	169.154724	-60.149719	3.059901	-11.3493505859	18.5434608459	0.108825683594	0.0
1989.0	3.0	6689.0	45.0	-119.669662	-66.602379	4.777177	-29.9508765436	65.0798492432	-0.0967407226562	0.0
1989.0	3.0	6689.0	46.0	-110.199539	-67.289436	5.6104	-23.842464324	61.405506134	-0.268005371094	0.0
1989.0	3.0	6689.0	47.0	-103.708954	-68.30394	7.245284	-19.4861469884	32.2515144348	-0.677551269531	0.0
1989.0	3.0	6689.0	48.0	-98.096039	-69.153549	8.725116	-16.8974044235	16.2291088104	-0.983154296875	0.0
1989.0	3.0	6689.0	49.0	-94.377075	-69.681831	8.917177	-15.11033513	10.1976289749	-0.974304199219	0.0
1989.0	3.0	6689.0	50.0	-91.495636	-69.814926	8.374917	-13.6725087484	12.5351839066	-0.6728515625	0.0
1989.0	3.0	6689.0	51.0	-88.916016	-69.790115	6.010337	-12.4084187169	16.5123271942	-0.415283203125	0.0
1989.0	3.0	6689.0	52.0	-83.771881	-69.309998	4.567084	-11.0689027848	18.5369167328	-0.558471679688	0.0
1989.0	3.0	6689.0	53.0	-80.728119	-70.023499	7.158751	-10.7322368007	19.745677948	-0.731567382812	0.0
1989.0	3.0	6689.0	54.0	-81.551422	-70.434525	9.030894	-9.8836492723	18.1120643616	-0.652038574219	0.0
1989.0	3.0	6689.0	55.0	-81.462585	-70.01944	8.965051	-9.13462878812	17.5329971313	-0.461120605469	1.0
1989.0	3.0	6689.0	56.0	-80.189667	-69.270386	7.611885	-8.78627654045	16.2548675537	-0.421569824219	1.0
1989.0	3.0	6689.0	57.0	-77.751068	-68.605499	6.387571	-8.52863139491	20.9193286896	-0.558471679688	1.0
1989.0	3.0	6689.0	58.0	-75.101532	-68.175972	6.489738	-8.7401280557	25.5419788361	-0.447814941406	1.0
1989.0	3.0	6689.0	59.0	-73.087708	-68.075607	6.552058	-10.5223418205	22.9639453888	-0.296447753906	0.0
1989.0	3.0	6689.0	60.0	-72.259766	-68.811714	3.882409	-13.6135698954	20.6642951965	-0.155151367188	0.0
1989.0	3.0	6694.0	52.0	-171.847946	-70.405075	5.581262	-17.5507327809	36.3397369385	-0.474060058594	0.0
1989.0	3.0	6694.0	53.0	-162.017639	-69.874756	6.638172	-16.6134741998	39.6807518005	-0.427978515625	0.0
1989.0	3.0	6694.0	54.0	-153.201431	-69.094337	7.339564	-15.241203062	35.7249832153	-0.658569335938	0.0
1989.0	3.0	6694.0	55.0	-146.253662	-68.115082	6.814477	-16.611741589	32.9774589539	-0.549682617188	0.0
1989.0	3.0	6694.0	56.0	-140.165009	-66.324089	4.889449	-16.0958374023	29.0748653412	-0.319702148438	0.0
1989.0	3.0	6694.0	57.0	-134.56601	-64.267029	5.13742	-16.2572521973	28.5042057037	-0.280334472656	0.0
1989.0	3.0	6694.0	58.0	-128.520676	-61.531567	3.921364	-14.1857580566	24.4962329865	-0.206787109375	0.0
1989.0	3.0	6694.0	59.0	-122.2108	-59.438248	4.447173	-12.2420798854	22.2771511078	-0.194091796875	0.0
1989.0	3.0	6694.0	60.0	-116.168839	-58.097893	4.924115	-10.0460606625	24.278837204	-0.203063964844	0.0
1989.0	3.0	6694.0	61.0	-110.20253	-57.093044	4.201181	-9.62653230366	26.6494274139	-0.205017089844	0.0
1989.0	3.0	6694.0	62.0	-103.749725	-56.615108	4.139681	-9.21241037469	28.1883945465	-0.202392578125	0.0
1989.0	3.0	6694.0	63.0	-97.434998	-57.141953	4.522779	-10.2820530942	24.2172985077	-0.214233398438	0.0
1989.0	3.0	6694.0	64.0	-90.537811	-58.188869	4.994104	-11.1954136899	28.0766582489	-0.223510742188	0.0
1989.0	3.0	6694.0	65.0	-85.553864	-59.956234	7.792135	-9.88517359683	22.6408748627	-0.801879882812	1.0
1989.0	3.0	6694.0	66.0	-81.860748	-61.383556	8.631452	-9.92586914063	20.1005992889	-0.727172851562	1.0
1989.0	3.0	6694.0	67.0	-76.180237	-63.285522	7.670272	-11.0346008301	20.2653598785	-0.816955566406	0.0
1989.0	3.0	7388.0	101.0	162.085541	-58.94479	3.169974	-11.9163898669	22.55909729	-0.380981445312	0.0
1989.0	3.0	7388.0	102.0	169.582642	-59.034424	4.296974	-9.69872243781	21.2374191284	-0.421752929688	1.0
1989.0	3.0	7388.0	103.0	177.97551	-58.370449	6.166634	-11.7458142732	23.9640483856	-0.537170410156	0.0
1989.0	3.0	7388.0	104.0	-173.358932	-58.120609	5.981528	-12.9748968827	22.6148052216	-0.439392089844	0.0
1989.0	3.0	7388.0	105.0	-165.697357	-58.814522	7.007475	-14.6191679302	20.6211452484	-0.49267578125	0.0
1989.0	3.0	7388.0	106.0	-158.735489	-59.9025	4.761952	-16.0777057848	21.8950805664	-0.469055175781	0.0
1989.0	3.0	7388.0	107.0	-152.348541	-61.612228	4.133394	-17.7754321289	23.3327903748	-0.346008300781	0.0
1989.0	3.0	7388.0	108.0	-147.785583	-64.124077	4.335085	-18.0066015625	23.1198997498	-0.267944335938	0.0
1989.0	3.0	7388.0	109.0	-144.745926	-66.101608	3.100083	-18.9430078125	21.4037418365	-0.1484375	0.0
1989.0	3.0	7535.0	108.0	3.214056	-58.713306	3.197817	-10.2730841386	5.15134382248	-0.396240234375	0.0
1989.0	3.0	7535.0	109.0	4.492788	-58.186226	4.943921	-10.4902247379	9.70360183716	-0.468994140625	1.0
1989.0	3.0	7535.0	110.0	6.637183	-57.007393	4.970455	-10.2462174265	12.4614753723	-0.351379394531	0.0
1989.0	3.0	7535.0	111.0	10.243742	-56.954735	4.895706	-11.6550517835	14.4912137985	-0.337036132812	0.0
1989.0	3.0	7535.0	112.0	13.706165	-57.934189	3.639098	-12.2011686626	14.8122024536	-0.27783203125	0.0
1989.0	3.0	7877.0	113.0	12.755833	-62.963871	3.683624	-9.89872436523	11.0904378891	-0.528442382812	1.0
1989.0	4.0	119.0	3.0	178.568115	-58.0485	4.67845	-8.39836290148	28.448217392	-0.559509277344	1.0
1989.0	4.0	119.0	5.0	-177.488312	-50.899731	3.57972	-6.35526315789	28.9472999573	-0.134704589844	0.0
1989.0	4.0	119.0	6.0	-174.065994	-47.009735	2.691132	-4.21848473182	26.1787643433	-0.0692749023438	0.0
1989.0	4.0	129.0	3.0	-178.30484	-52.04528	3.254006	-14.7904502467	54.9734725952	-0.179626464844	0.0
1989.0	4.0	129.0	4.0	-171.943802	-50.330288	4.239381	-8.18145109478	27.5258083344	-0.36865234375	0.0
1989.0	4.0	129.0	5.0	-167.528488	-49.657795	3.73456	-6.85221140008	30.1058368683	-0.418395996094	1.0
1989.0	4.0	129.0	6.0	-164.051468	-49.847523	3.370358	-6.54884097451	28.4891719818	-0.457580566406	1.0
1989.0	4.0	871.0	26.0	-68.844208	-66.859749	4.45991	-24.5925383391	39.8949432373	-0.795166015625	0.0
1989.0	4.0	871.0	27.0	-69.308838	-65.797318	4.236787	-23.86078125	39.9229316711	-0.240234375	0.0
1989.0	4.0	871.0	28.0	-68.63385	-63.546417	4.772629	-24.9183740234	35.1410560608	-0.474365234375	0.0
1989.0	4.0	871.0	29.0	-68.904266	-63.010475	4.28538	-22.7763183594	31.6055374146	-0.548828125	0.0
1989.0	4.0	871.0	30.0	-69.477753	-61.728508	4.852253	-20.6445117187	30.1132411957	-0.498596191406	0.0
1989.0	4.0	871.0	31.0	-69.220215	-60.037086	4.365487	-17.9332702637	28.6965904236	-0.472961425781	0.0
1989.0	4.0	871.0	32.0	-67.56015	-58.019909	6.427217	-15.6233006528	28.0367183685	-0.379943847656	0.0
1989.0	4.0	871.0	33.0	-66.605194	-56.360001	6.815853	-12.8397907458	30.191110611	-0.830383300781	1.0
1989.0	4.0	871.0	34.0	-64.803497	-54.033062	5.530771	-13.7740382144	30.3507022858	-0.3916015625	0.0
1989.0	4.0	871.0	35.0	-61.067383	-52.28492	5.64784	-12.2733208151	27.7018909454	-0.333618164062	0.0
1989.0	4.0	883.0	47.0	-140.242966	-51.934826	3.942239	-8.07405652498	22.2560691833	-0.495910644531	1.0
1989.0	4.0	883.0	48.0	-136.962891	-51.673531	4.37391	-8.00825902035	21.8743629456	-0.639831542969	1.0
