Year,Month,Day,Lat,Lon,Time,"Mean Diameter, km","Max Wind, m/s"
2000,10,28,74,39,05,,
2000,10,28,73,37,06,,
2000,10,28,71,35,13,288,16
,,,,,,,
2000,11,6,76,1,08,,
2000,11,6,76,0,10,,
2000,11,6,77,-1,13,,
2000,11,6,77,0,14,233,18
,,,,,,,
2000,11,7,76,1,08,,
2000,11,7,75,6,13,,
2000,11,7,75,8,14,469,17
,,,,,,,
2000,11,12,76,4,07,,
2000,11,12,76,5,08,,
2000,11,12,76,5,10,,
2000,11,12,76,6,13,,
2000,11,12,76,6,15,407,16
,,,,,,,
2000,12,13,73,25,05,,
2000,12,13,72,25,07,550,21
,,,,,,,
2000,12,14,77,9,06,,
2000,12,14,78,9,08,,
2000,12,14,78,9,10,,
2000,12,14,79,5,13,304,23
,,,,,,,
2000,12,30,64,-5,08,,
2000,12,30,64,-1,16,460,24
,,,,,,,
2001,1,1,70,11,06,,
2001,1,1,70,10,08,,
2001,1,1,72,18,14,324,27
,,,,,,,
2001,1,2,74,-2,07,,
2001,1,2,74,-3,09,,
2001,1,2,74,-2,14,,
2001,1,2,73,-1,16,279,16
,,,,,,,
2001,1,4,64,2,07,,
2001,1,4,65,3,15,,
2001,1,4,66,2,17,280,20
,,,,,,,
2001,1,5,61,-9,07,,
2001,1,5,61,-9,17,370,21
,,,,,,,
2001,1,8,73,26,06,,
2001,1,8,72,28,13,,
2001,1,8,72,29,14,312,16
,,,,,,,
2001,2,4,62,1,07,,
2001,2,4,63,-3,17,272,20
,,,,,,,
2001,2,8,71,1,08,,
2001,2,8,68,0,16,,
2001,2,9,68,4,06,,
2001,2,9,67,9,16,316,17
,,,,,,,
2001,2,9,72,13,06,,
2001,2,9,72,13,08,,
2001,2,9,73,11,14,297,15
,,,,,,,
2001,2,23,77,9,06,,
2001,2,23,76,8,13,,
2001,2,23,76,7,14,234,19
,,,,,,,
2001,2,24,71,35,04,,
2001,2,24,72,35,06,,
2001,2,24,72,32,13,,
2001,2,24,72,33,14,211,21
,,,,,,,
2001,2,24,75,27,06,,
2001,2,24,75,26,13,,
2001,2,24,74,24,14,235,20
,,,,,,,
2001,2,25,71,8,14,,
2001,2,25,70,6,16,262,18
,,,,,,,
2001,2,25,70,11,14,,
2001,2,25,70,7,16,280,18
,,,,,,,
2001,2,24,72,46,04,,
2001,2,24,72,46,06,,
2001,2,24,73,45,13,,
2001,2,25,73,41,04,,
2001,2,25,73,41,06,,
2001,2,25,74,42,12,,
2001,2,25,74,42,14,,
2001,2,26,73,43,04,,
2001,2,26,73,44,06,,
2001,2,26,73,44,12,217,17
,,,,,,,
2001,3,1,74,49,03,,
2001,3,1,74,50,05,,
2001,3,1,76,49,11,170,17
,,,,,,,
2001,3,2,74,39,05,,
2001,3,2,74,41,06,,
2001,3,2,76,47,11,,
2001,3,2,76,47,13,366,25
,,,,,,,
2001,3,12,73,39,04,,
2001,3,12,73,40,06,,
2001,3,12,72,46,12,335,16
,,,,,,,
2001,3,12,72,23,06,,
2001,3,12,72,26,08,,
2001,3,12,73,26,14,169,16
,,,,,,,
2001,3,13,71,35,04,,
2001,3,13,70,37,06,157,16
,,,,,,,
2001,3,14,67,5,07,,
2001,3,14,66,-1,15,,
2001,3,14,66,0,17,368,19
,,,,,,,
2001,3,14,71,13,07,,
2001,3,14,69,10,15,146,18
,,,,,,,
2001,3,19,76,8,08,,
2001,3,19,75,10,09,,
2001,3,19,75,9,14,,
2001,3,19,75,7,16,223,20
,,,,,,,
2001,3,24,75,9,07,,
2001,3,24,75,8,08,,
2001,3,24,74,4,13,,
2001,3,24,73,2,15,215,16
,,,,,,,
2001,3,26,71,3,06,,
2001,3,26,71,1,08,,
2001,3,26,71,-2,14,,
2001,3,26,71,-3,16,278,19
,,,,,,,
2001,3,26,73,-1,08,,
2001,3,26,73,-4,10,,
2001,3,26,73,-6,14,,
2001,3,26,72,-6,16,143,17
,,,,,,,
2001,3,31,74,27,05,,
2001,3,31,74,30,07,,
2001,3,31,74,36,12,,
2001,3,31,74,38,13,288,25
,,,,,,,
2001,4,8,75,27,07,,
2001,4,8,75,31,12,,
2001,4,8,75,31,13,234,19
,,,,,,,
,,,,,,,
2001,4,11,72,30,06,,
2001,4,11,72,39,14,,
2001,4,12,72,39,,487,25
,,,,,,,
2001,10,14,73,25,06,,
2001,10,14,74,26,07,,
2001,10,14,77,21,12,,
2001,10,14,76,23,14,425,17
,,,,,,,
2001,10,15,74,30,05,,
2001,10,15,74,33,07,,
2001,10,15,74,37,12,,
2001,10,15,74,38,14,,
2001,10,16,72,40,05,,
2001,10,16,69,45,13,563,28
,,,,,,,
2001,10,30,76,0,15,289,16
,,,,,,,
2001,11,1,74,45,05,,
2001,11,1,74,46,07,,
2001,11,1,75,51,12,,
2001,11,1,75,51,13,438,24
,,,,,,,
2001,11,1,76,10,07,,
2001,11,1,76,11,08,,
2001,11,1,74,17,13,,
2001,11,1,75,18,15,303,16
,,,,,,,
2001,12,21,74,50,04,,
2001,12,21,74,47,06,,
2001,12,21,73,43,12,278,17
,,,,,,,
2001,12,21,70,41,04,,
2001,12,21,71,41,06,,
2001,12,21,70,40,12,,
2001,12,21,71,41,14,,
2001,12,22,72,30,05,,
2001,12,22,72,30,07,,
2001,12,22,71,32,14,282,17
,,,,,,,
2001,12,22,71,42,05,,
2001,12,22,73,38,07,,
2001,12,22,71,37,14,219,16
,,,,,,,
2001,12,25,73,19,06,,
2001,12,25,73,19,08,,
2001,12,25,74,25,13,,
2001,12,25,75,26,15,213,18
,,,,,,,
2001,12,26,73,4,08,,
2001,12,26,72,3,14,,
2001,12,26,71,3,16,686,26
,,,,,,,
2001,12,30,72,14,07,,
2001,12,30,71,12,14,,
2001,12,30,71,12,15,,
2001,12,31,71,12,07,,
2001,12,31,70,15,15,422,18
,,,,,,,
2001,12,30,70,-7,07,,
2001,12,30,71,-7,09,,
2001,12,30,71,-9,15,,
2001,12,30,71,-11,17,,
2001,12,31,71,-14,09,,
2001,12,31,71,-12,15,330,17
,,,,,,,
2001,12,31,75,46,05,,
2001,12,31,75,45,07,,
2001,12,31,75,39,12,203,19
,,,,,,,
2001,12,31,72,33,07,,
